"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"1398",1398,"http://www.stilltasty.com/searchitems/index/281.href"," BRAZIL NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — OUT OF THE SHELL","2-4 weeks","9 months","1 year",2,"OUT OF THE SHELL"," BRAZIL NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," BRAZIL NUTS","weeks","2-4",2,4,7,14,28,"months","9",9,9,30,270,270,"year","1",1,1,365,365,365,"OUT OF THE SHELL",NA
"1399",1399,"http://www.stilltasty.com/searchitems/index/281.href"," BUTTER BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," BUTTER BEANS, COMMERCIALLY CANNED OR BOTTLED"," BUTTER BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1400",1400,"http://www.stilltasty.com/searchitems/index/281.href"," BUTTER BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," BUTTER BEANS, COMMERCIALLY CANNED OR BOTTLED"," BUTTER BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1401",1401,"http://www.stilltasty.com/searchitems/index/281.href"," BUTTER BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," BUTTER BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," BUTTER BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1402",1402,"http://www.stilltasty.com/searchitems/index/281.href"," BUTTER BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," BUTTER BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," BUTTER BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1403",1403,"http://www.stilltasty.com/searchitems/index/281.href"," CANNELLINI BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," CANNELLINI BEANS, COMMERCIALLY CANNED OR BOTTLED"," CANNELLINI BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1404",1404,"http://www.stilltasty.com/searchitems/index/281.href"," CANNELLINI BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," CANNELLINI BEANS, COMMERCIALLY CANNED OR BOTTLED"," CANNELLINI BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1405",1405,"http://www.stilltasty.com/searchitems/index/281.href"," CANNELLINI BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," CANNELLINI BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CANNELLINI BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1406",1406,"http://www.stilltasty.com/searchitems/index/281.href"," CANNELLINI BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," CANNELLINI BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CANNELLINI BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1407",1407,"http://www.stilltasty.com/searchitems/index/281.href"," CASHEWS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — OUT OF THE SHELL","2-4 weeks","6 months","1 year",2,"OUT OF THE SHELL"," CASHEWS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CASHEWS","weeks","2-4",2,4,7,14,28,"months","6",6,6,30,180,180,"year","1",1,1,365,365,365,"OUT OF THE SHELL",NA
"1408",1408,"http://www.stilltasty.com/searchitems/index/281.href"," CASHEWS, COMMERCIALLY CANNED OR BOTTLED — OPENED","1 month","4-6 months","9-12 months",2,"OPENED"," CASHEWS, COMMERCIALLY CANNED OR BOTTLED"," CASHEWS","month","1",1,1,30,30,30,"months","4-6",4,6,30,120,180,"months","9-12",9,12,30,270,360,"OPENED","OPENED"
"1409",1409,"http://www.stilltasty.com/searchitems/index/281.href"," CASHEWS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED ","18-24 months",NA,NA,2,"UNOPENED "," CASHEWS, COMMERCIALLY CANNED OR BOTTLED"," CASHEWS","months","18-24",18,24,30,540,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED ","UNOPENED"
"1410",1410,"http://www.stilltasty.com/searchitems/index/281.href"," CHESTNUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — OUT OF THE SHELL",NA,"4-5 days","9-12 months",2,"OUT OF THE SHELL"," CHESTNUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CHESTNUTS",NA,NA,NA,NA,NA,NA,NA,"days","4-5",4,5,1,4,5,"months","9-12",9,12,30,270,360,"OUT OF THE SHELL",NA
"1411",1411,"http://www.stilltasty.com/searchitems/index/281.href"," CHESTNUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — IN THE SHELL",NA,"4-6 months","3-4 months",2,"IN THE SHELL"," CHESTNUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CHESTNUTS",NA,NA,NA,NA,NA,NA,NA,"months","4-6",4,6,30,120,180,"months","3-4",3,4,30,90,120,"IN THE SHELL",NA
"1412",1412,"http://www.stilltasty.com/searchitems/index/281.href"," CHICKPEAS / GARBANZOS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",3,"OPENED"," CHICKPEASGARBANZOS, COMMERCIALLY CANNED OR BOTTLED"," CHICKPEASGARBANZOS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1413",1413,"http://www.stilltasty.com/searchitems/index/281.href"," CHICKPEAS / GARBANZOS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,3,"UNOPENED"," CHICKPEASGARBANZOS, COMMERCIALLY CANNED OR BOTTLED"," CHICKPEASGARBANZOS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1414",1414,"http://www.stilltasty.com/searchitems/index/281.href"," CHICKPEAS / GARBANZOS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",3,"COOKED AT HOME"," CHICKPEASGARBANZOS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CHICKPEASGARBANZOS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1415",1415,"http://www.stilltasty.com/searchitems/index/281.href"," CHICKPEAS / GARBANZOS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,3,"UNCOOKED"," CHICKPEASGARBANZOS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CHICKPEASGARBANZOS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1416",1416,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT / CREAM OF COCONUT, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"5-7 days","1-2 months",3,"OPENED"," COCONUTCREAM OF COCONUT, COMMERCIALLY CANNED OR BOTTLED"," COCONUTCREAM OF COCONUT",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1417",1417,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT / CREAM OF COCONUT, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","12-18 months",NA,NA,3,"UNOPENED"," COCONUTCREAM OF COCONUT, COMMERCIALLY CANNED OR BOTTLED"," COCONUTCREAM OF COCONUT","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1418",1418,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT MILK, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"4-6 days","2-3 months",2,"OPENED"," COCONUT MILK, COMMERCIALLY CANNED OR BOTTLED"," COCONUT MILK",NA,NA,NA,NA,NA,NA,NA,"days","4-6",4,6,1,4,6,"months","2-3",2,3,30,60,90,"OPENED","OPENED"
"1419",1419,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT MILK, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," COCONUT MILK, COMMERCIALLY CANNED OR BOTTLED"," COCONUT MILK","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1420",1420,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT, SHREDDED, COMMERCIALLY PACKAGED — OPENED",NA,"6 months",NA,2,"OPENED"," COCONUT, SHREDDED, COMMERCIALLY PACKAGED"," COCONUT",NA,NA,NA,NA,NA,NA,NA,"months","6",6,6,30,180,180,NA,NA,NA,NA,NA,NA,NA,"OPENED","OPENED"
"1421",1421,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUT, SHREDDED, COMMERCIALLY PACKAGED — UNOPENED","12 months",NA,NA,2,"UNOPENED"," COCONUT, SHREDDED, COMMERCIALLY PACKAGED"," COCONUT","months","12",12,12,30,360,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1422",1422,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUTS, FRESH — IN THE SHELL","1 week","1 month",NA,2,"IN THE SHELL"," COCONUTS, FRESH"," COCONUTS","week","1",1,1,7,7,7,"month","1",1,1,30,30,30,NA,NA,NA,NA,NA,NA,NA,"IN THE SHELL",NA
"1423",1423,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUTS, FRESH — MILK OR WATER ONLY",NA,"2 days","1-2 months",2,"MILK OR WATER ONLY"," COCONUTS, FRESH"," COCONUTS",NA,NA,NA,NA,NA,NA,NA,"days","2",2,2,1,2,2,"months","1-2",1,2,30,30,60,"MILK OR WATER ONLY",NA
"1424",1424,"http://www.stilltasty.com/searchitems/index/281.href"," COCONUTS, FRESH — SHELLED",NA,"4-5 days","6 months",2,"SHELLED"," COCONUTS, FRESH"," COCONUTS",NA,NA,NA,NA,NA,NA,NA,"days","4-5",4,5,1,4,5,"months","6",6,6,30,180,180,"SHELLED",NA
"1425",1425,"http://www.stilltasty.com/searchitems/index/281.href"," CRANBERRY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," CRANBERRY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CRANBERRY BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1426",1426,"http://www.stilltasty.com/searchitems/index/281.href"," CRANBERRY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," CRANBERRY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," CRANBERRY BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1427",1427,"http://www.stilltasty.com/searchitems/index/281.href"," FAVA BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," FAVA BEANS, COMMERCIALLY CANNED OR BOTTLED"," FAVA BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1428",1428,"http://www.stilltasty.com/searchitems/index/281.href"," FAVA BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," FAVA BEANS, COMMERCIALLY CANNED OR BOTTLED"," FAVA BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1429",1429,"http://www.stilltasty.com/searchitems/index/282.href"," FAVA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," FAVA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," FAVA BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1430",1430,"http://www.stilltasty.com/searchitems/index/282.href"," FAVA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," FAVA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," FAVA BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1431",1431,"http://www.stilltasty.com/searchitems/index/282.href"," GREAT NORTHERN BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," GREAT NORTHERN BEANS, COMMERCIALLY CANNED OR BOTTLED"," GREAT NORTHERN BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1432",1432,"http://www.stilltasty.com/searchitems/index/282.href"," GREAT NORTHERN BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," GREAT NORTHERN BEANS, COMMERCIALLY CANNED OR BOTTLED"," GREAT NORTHERN BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1433",1433,"http://www.stilltasty.com/searchitems/index/282.href"," GREAT NORTHERN BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," GREAT NORTHERN BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," GREAT NORTHERN BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1434",1434,"http://www.stilltasty.com/searchitems/index/282.href"," GREAT NORTHERN BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," GREAT NORTHERN BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," GREAT NORTHERN BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1435",1435,"http://www.stilltasty.com/searchitems/index/282.href"," HAZELNUTS / FILBERTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — IN THE SHELL","3 months","9 months","12 months",3,"IN THE SHELL"," HAZELNUTSFILBERTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," HAZELNUTSFILBERTS","months","3",3,3,30,90,90,"months","9",9,9,30,270,270,"months","12",12,12,30,360,360,"IN THE SHELL",NA
"1436",1436,"http://www.stilltasty.com/searchitems/index/282.href"," KIDNEY BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," KIDNEY BEANS, COMMERCIALLY CANNED OR BOTTLED"," KIDNEY BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1437",1437,"http://www.stilltasty.com/searchitems/index/282.href"," KIDNEY BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," KIDNEY BEANS, COMMERCIALLY CANNED OR BOTTLED"," KIDNEY BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1438",1438,"http://www.stilltasty.com/searchitems/index/282.href"," KIDNEY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," KIDNEY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," KIDNEY BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1439",1439,"http://www.stilltasty.com/searchitems/index/282.href"," KIDNEY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," KIDNEY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," KIDNEY BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1440",1440,"http://www.stilltasty.com/searchitems/index/282.href"," LENTILS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," LENTILS, COMMERCIALLY CANNED OR BOTTLED"," LENTILS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1441",1441,"http://www.stilltasty.com/searchitems/index/282.href"," LENTILS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," LENTILS, COMMERCIALLY CANNED OR BOTTLED"," LENTILS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1442",1442,"http://www.stilltasty.com/searchitems/index/282.href"," LENTILS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," LENTILS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," LENTILS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1443",1443,"http://www.stilltasty.com/searchitems/index/282.href"," LENTILS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," LENTILS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," LENTILS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1444",1444,"http://www.stilltasty.com/searchitems/index/282.href"," LIMA BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," LIMA BEANS, COMMERCIALLY CANNED OR BOTTLED"," LIMA BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1445",1445,"http://www.stilltasty.com/searchitems/index/282.href"," LIMA BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," LIMA BEANS, COMMERCIALLY CANNED OR BOTTLED"," LIMA BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1446",1446,"http://www.stilltasty.com/searchitems/index/282.href"," LIMA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," LIMA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," LIMA BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1447",1447,"http://www.stilltasty.com/searchitems/index/282.href"," LIMA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," LIMA BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," LIMA BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1448",1448,"http://www.stilltasty.com/searchitems/index/282.href"," MACADAMIA NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — OUT OF THE SHELL","2-4 weeks","6 months","9-12 months",2,"OUT OF THE SHELL"," MACADAMIA NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," MACADAMIA NUTS","weeks","2-4",2,4,7,14,28,"months","6",6,6,30,180,180,"months","9-12",9,12,30,270,360,"OUT OF THE SHELL",NA
"1449",1449,"http://www.stilltasty.com/searchitems/index/282.href"," MIXED NUTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED ","10-12 months",NA,NA,2,"UNOPENED "," MIXED NUTS, COMMERCIALLY CANNED OR BOTTLED"," MIXED NUTS","months","10-12",10,12,30,300,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED ","UNOPENED"
"1450",1450,"http://www.stilltasty.com/searchitems/index/282.href"," MIXED NUTS, COMMERCIALLY CANNED OR BOTTLED — OPENED","1 month","4-6 months","9-12 months",2,"OPENED"," MIXED NUTS, COMMERCIALLY CANNED OR BOTTLED"," MIXED NUTS","month","1",1,1,30,30,30,"months","4-6",4,6,30,120,180,"months","9-12",9,12,30,270,360,"OPENED","OPENED"
"1451",1451,"http://www.stilltasty.com/searchitems/index/282.href"," NAVY BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"3-4 days","1-2 months",2,"OPENED"," NAVY BEANS, COMMERCIALLY CANNED OR BOTTLED"," NAVY BEANS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"1452",1452,"http://www.stilltasty.com/searchitems/index/282.href"," NAVY BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","2-5 years",NA,NA,2,"UNOPENED"," NAVY BEANS, COMMERCIALLY CANNED OR BOTTLED"," NAVY BEANS","years","2-5",2,5,365,730,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"1453",1453,"http://www.stilltasty.com/searchitems/index/282.href"," NAVY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",NA,"5-7 days","6 months",2,"COOKED AT HOME"," NAVY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," NAVY BEANS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","6",6,6,30,180,180,"COOKED AT HOME","COOKED"
"1454",1454,"http://www.stilltasty.com/searchitems/index/282.href"," NAVY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED","1 year",NA,NA,2,"UNCOOKED"," NAVY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," NAVY BEANS","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCOOKED","FRESH, RAW"
"1455",1455,"http://www.stilltasty.com/searchitems/index/282.href"," PEANUT BUTTER, COMMERCIALLY MANUFACTURED AND PROCESSED (CONTAINING HYDROGENATED FAT OR OTHER STABILIZERS ) — OPENED JAR","3 months","3-4 months after pantry storage",NA,2,"— OPENED JAR"," PEANUT BUTTER, COMMERCIALLY MANUFACTURED AND PROCESSED (CONTAINING HYDROGENATED FAT OR OTHER STABILIZERS"," PEANUT BUTTER","months","3",3,3,30,90,90,"months","3-4",3,4,30,90,120,NA,NA,NA,NA,NA,NA,NA,"— OPENED JAR","OPENED"
"1456",1456,"http://www.stilltasty.com/searchitems/index/282.href"," PEANUT BUTTER, COMMERCIALLY MANUFACTURED AND PROCESSED (CONTAINING HYDROGENATED FAT OR OTHER STABILIZERS ) — UNOPENED JAR","2 years",NA,NA,2,"— UNOPENED JAR"," PEANUT BUTTER, COMMERCIALLY MANUFACTURED AND PROCESSED (CONTAINING HYDROGENATED FAT OR OTHER STABILIZERS"," PEANUT BUTTER","years","2",2,2,365,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"— UNOPENED JAR","UNOPENED"
"1457",1457,"http://www.stilltasty.com/searchitems/index/282.href"," PEANUT BUTTER, NATURAL (DOES NOT CONTAIN HYDROGENATED FAT OR OTHER STABILIZERS) — UNOPENED OR OPENED CONTAINER",NA,"6 months",NA,2,"UNOPENED OR OPENED CONTAINER"," PEANUT BUTTER, NATURAL (DOES NOT CONTAIN HYDROGENATED FAT OR OTHER STABILIZERS)"," PEANUT BUTTER",NA,NA,NA,NA,NA,NA,NA,"months","6",6,6,30,180,180,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED CONTAINER",NA
"1458",1458,"http://www.stilltasty.com/searchitems/index/282.href"," PEANUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — IN THE SHELL","1-2 months","4-6 months","9-12 months",2,"IN THE SHELL"," PEANUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," PEANUTS","months","1-2",1,2,30,30,60,"months","4-6",4,6,30,120,180,"months","9-12",9,12,30,270,360,"IN THE SHELL",NA
"1459",1459,"http://www.stilltasty.com/searchitems/index/282.href"," PEANUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK — OUT OF THE SHELL","2-4 weeks","4-6 months","9-12 months",2,"OUT OF THE SHELL"," PEANUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK"," PEANUTS","weeks","2-4",2,4,7,14,28,"months","4-6",4,6,30,120,180,"months","9-12",9,12,30,270,360,"OUT OF THE SHELL",NA
