"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"54",54,"http://www.stilltasty.com/searchitems/index/262.href"," CITRON PEEL, CANDIED — UNOPENED OR OPENED PACKAGE","12 months",NA,NA,2,"UNOPENED OR OPENED PACKAGE"," CITRON PEEL, CANDIED"," CITRON PEEL","months","12",12,12,30,360,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED PACKAGE",NA
"55",55,"http://www.stilltasty.com/searchitems/index/262.href"," CLEMENTINES — FRESH, RAW","1 week","1-2 weeks","10-12 months",2,"FRESH, RAW"," CLEMENTINES"," CLEMENTINES","week","1",1,1,7,7,7,"weeks","1-2",1,2,7,7,14,"months","10-12",10,12,30,300,360,"FRESH, RAW","FRESH, RAW"
"56",56,"http://www.stilltasty.com/searchitems/index/262.href"," CLEMENTINES, CANDIED — UNOPENED OR OPENED PACKAGE","12 months",NA,NA,2,"UNOPENED OR OPENED PACKAGE"," CLEMENTINES, CANDIED"," CLEMENTINES","months","12",12,12,30,360,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED PACKAGE",NA
"57",57,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRIES — FRESH, RAW",NA,"3-4 weeks","10-12 months",2,"FRESH, RAW"," CRANBERRIES"," CRANBERRIES",NA,NA,NA,NA,NA,NA,NA,"weeks","3-4",3,4,7,21,28,"months","10-12",10,12,30,300,360,"FRESH, RAW","FRESH, RAW"
"58",58,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRIES, DRIED — UNOPENED OR OPENED PACKAGE","6-12 months","6-12 months","12-18 months",2,"UNOPENED OR OPENED PACKAGE"," CRANBERRIES, DRIED"," CRANBERRIES","months","6-12",6,12,30,180,360,"months","6-12",6,12,30,180,360,"months","12-18",12,18,30,360,540,"UNOPENED OR OPENED PACKAGE",NA
"59",59,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",NA,"2-3 weeks","8-12 months",2,"OPENED"," CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," CRANBERRY JUICE",NA,NA,NA,NA,NA,NA,NA,"weeks","2-3",2,3,7,14,21,"months","8-12",8,12,30,240,360,"OPENED","OPENED"
"60",60,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED","12-18 months",NA,"8-12 months",2,"UNOPENED"," CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," CRANBERRY JUICE","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"61",61,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",NA,"7-10 days ","8-12 months",2,"OPENED"," CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER"," CRANBERRY JUICE",NA,NA,NA,NA,NA,NA,NA,"days","7-10",7,10,1,7,10,"months","8-12",8,12,30,240,360,"OPENED","OPENED"
"62",62,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER — UNOPENED",NA,"1 week after date on package ","8-12 months",2,"UNOPENED"," CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER"," CRANBERRY JUICE",NA,NA,NA,NA,NA,NA,NA,"week","1",1,1,7,7,7,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"63",63,"http://www.stilltasty.com/searchitems/index/262.href"," CRANBERRY SAUCE — HOMEMADE",NA,"10-14 days","1-2 months",2,"HOMEMADE"," CRANBERRY SAUCE"," CRANBERRY SAUCE",NA,NA,NA,NA,NA,NA,NA,"days","10-14",10,14,1,10,14,"months","1-2",1,2,30,30,60,"HOMEMADE",NA
